LC522973	Japan
LC522972	Japan
NC_045512	China
MN996530	China
MT019531	China
MT106052	USA
MN938384	China
MT049951	China
MT020880	USA
MN996529	China
MT019530	China
LC522975	Japan
MT044257	USA
MT039890	South Korea
MN996527	China
MN996531	China
MN994467	USA
MN908947	China
MT106054	USA
MT019533	China
MT007544	Australia
MT106053	USA
MN994468	USA
MT019532	China
MN996528	China
MT019529	China
MT020881	USA
MT066175	Taiwan
MT093571	Sweden
MT093631	China
LC522974	Japan
MN985325	USA
MT039888	USA
MT039873	China
MN988713	USA
MT027064	USA
MN988669	China
MT044258	USA
MT066176	Taiwan
MT027062	USA
MT039887	USA
MN997409	USA
MN988668	China
MT020781	Finland
MT072688	Nepal
MN975262	China
MT027063	USA
